month,NA,SA,SO,PO,IO
2000-01-01,286.0943908691406,285.2629089355469,274.7781066894531,289.701416015625,290.2021179199219
2000-02-01,285.75946044921875,285.9563293457031,275.15362548828125,289.7957458496094,290.3037109375
2000-03-01,285.8017883300781,285.7705383300781,274.90802001953125,289.81512451171875,290.4318542480469
2000-04-01,286.0522155761719,285.1806945800781,274.4212646484375,289.81817626953125,290.5191650390625
2000-05-01,286.834716796875,284.25067138671875,273.9285888671875,289.864501953125,290.2563171386719
2000-06-01,287.919189453125,283.3252868652344,273.6319885253906,290.0932312011719,289.9518737792969
2000-07-01,289.3668518066406,282.65625,273.4196472167969,290.5896911621094,289.7264709472656
2000-08-01,290.1581115722656,282.2894287109375,273.3279724121094,290.8886413574219,289.6539306640625
2000-09-01,289.94464111328125,282.2061767578125,273.3330993652344,290.8140869140625,289.5795593261719
2000-10-01,288.939208984375,282.5262756347656,273.42333984375,290.3654479980469,289.5043640136719
2000-11-01,287.8855895996094,283.09686279296875,273.7096862792969,290.0209655761719,289.5755920410156
2000-12-01,286.82177734375,284.0506591796875,274.3362731933594,289.8639221191406,289.75054931640625
2001-01-01,286.0997314453125,285.15216064453125,275.0476379394531,289.84918212890625,289.94073486328125
2001-02-01,285.7606201171875,285.7311706542969,275.3551330566406,289.88970947265625,290.21246337890625
2001-03-01,285.76251220703125,285.61083984375,275.19757080078125,289.9200744628906,290.5028991699219
2001-04-01,286.052734375,284.9941101074219,274.6874694824219,289.94439697265625,290.5561218261719
2001-05-01,286.7760314941406,284.1039733886719,274.19281005859375,289.97979736328125,290.4452209472656
2001-06-01,288.1505432128906,283.2591552734375,273.7912292480469,290.2553405761719,290.04425048828125
2001-07-01,289.4584655761719,282.6177062988281,273.4886169433594,290.71875,289.83563232421875
2001-08-01,290.30535888671875,282.2944641113281,273.3583984375,290.932861328125,289.8029479980469
2001-09-01,290.1950378417969,282.2370910644531,273.3687744140625,290.82147216796875,289.8275146484375
2001-10-01,289.2313537597656,282.5487976074219,273.47222900390625,290.391357421875,289.6759338378906
2001-11-01,288.0513610839844,283.3815002441406,273.7773132324219,290.0857238769531,289.6506652832031
2001-12-01,287.056396484375,284.302001953125,274.3082580566406,289.8611755371094,290.02447509765625
