date,T_NA_C,T_IO_C,K0_NA,K0_IO,K0_ratio,C_star_NA,C_star_IO,C_NA_obs,C_IO_obs,C_IO_pred_K0,resid_K0
1987-07,18.495,18.381,34.676115,34.851304,1.005052,0.01179619,0.01185579,0.01413082,0.01671023,0.01671083,-5.95e-07
1987-08,18.4967,18.3813,34.674415,34.850993,1.005092,0.01180191,0.01186201,0.01413164,0.01671046,0.01671165,-1.189e-06
1987-09,18.4984,18.3815,34.672721,34.850703,1.005133,0.01180762,0.01186823,0.01413246,0.0167107,0.01671248,-1.782e-06
1987-10,18.5001,18.3818,34.671001,34.850416,1.005175,0.01181333,0.01187446,0.01413334,0.01671094,0.01671336,-2.414e-06
1987-11,18.5018,18.382,34.669279,34.850128,1.005216,0.01181904,0.01188069,0.01413416,0.01671117,0.01671418,-3.007e-06
1987-12,18.5035,18.3823,34.667545,34.849883,1.00526,0.01182474,0.01188693,0.01413498,0.01671141,0.016715,-3.598e-06
1988-01,18.5052,18.3826,34.665777,34.849611,1.005303,0.01183043,0.01189317,0.01413585,0.01671165,0.01671588,-4.229e-06
1988-02,18.5069,18.3828,34.664016,34.849335,1.005346,0.01183612,0.0118994,0.01413661,0.01671187,0.01671665,-4.78e-06
1988-03,18.5086,18.3831,34.662238,34.849064,1.00539,0.0118418,0.01190563,0.01413748,0.01671212,0.01671752,-5.409e-06
1988-04,18.5103,18.3833,34.6605,34.848756,1.005431,0.0118475,0.01191185,0.0141383,0.01671235,0.01671834,-5.998e-06
1988-05,18.512,18.3836,34.658789,34.848437,1.005472,0.01185321,0.01191807,0.01413912,0.01671258,0.01671916,-6.586e-06
1988-06,18.5137,18.3839,34.657071,34.848104,1.005512,0.01185891,0.01192428,0.01413993,0.01671281,0.01671998,-7.174e-06
1988-07,18.5154,18.3841,34.655344,34.847795,1.005553,0.01186461,0.0119305,0.0141408,0.01671306,0.01672086,-7.801e-06
1988-08,18.5171,18.3844,34.653659,34.847509,1.005594,0.01187033,0.01193673,0.01414161,0.01671329,0.01672168,-8.387e-06
1988-09,18.5188,18.3846,34.651963,34.847202,1.005634,0.01187603,0.01194295,0.01414242,0.01671352,0.01672249,-8.973e-06
1988-10,18.5205,18.3849,34.650238,34.846893,1.005675,0.01188173,0.01194917,0.01414323,0.01671375,0.01672331,-9.559e-06
1988-11,18.5222,18.3852,34.648492,34.84658,1.005717,0.01188742,0.01195538,0.01414405,0.01671398,0.01672413,-1.0144e-05
1988-12,18.5239,18.3854,34.646721,34.846292,1.00576,0.0118931,0.01196161,0.01414491,0.01671423,0.016725,-1.0767e-05
1989-01,18.5256,18.3857,34.644957,34.846031,1.005804,0.01189879,0.01196785,0.01414572,0.01671446,0.01672581,-1.1351e-05
1989-02,18.5273,18.3859,34.643208,34.845741,1.005846,0.01190448,0.01197407,0.01414648,0.01671468,0.01672657,-1.1895e-05
1989-03,18.529,18.3862,34.641438,34.845441,1.005889,0.01191016,0.01198029,0.01414734,0.01671492,0.01672744,-1.2517e-05
1989-04,18.5307,18.3865,34.639689,34.845132,1.005931,0.01191584,0.01198651,0.01414815,0.01671515,0.01672825,-1.3099e-05
1989-05,18.5324,18.3867,34.637962,34.844813,1.005972,0.01192154,0.01199273,0.01414895,0.01671539,0.01672907,-1.368e-05
1989-06,18.5341,18.387,34.636225,34.844495,1.006013,0.01192723,0.01199894,0.01414976,0.01671562,0.01672988,-1.4261e-05
1989-07,18.5358,18.3872,34.634475,34.844166,1.006054,0.01193291,0.01200516,0.01415062,0.01671586,0.01673074,-1.488e-05
1989-08,18.5375,18.3875,34.632758,34.843841,1.006095,0.0119386,0.01201137,0.01415142,0.01671609,0.01673155,-1.5459e-05
1989-09,18.5392,18.3878,34.631054,34.843532,1.006135,0.0119443,0.01201759,0.01415223,0.01671633,0.01673236,-1.6038e-05
1989-10,18.5409,18.388,34.629335,34.84323,1.006177,0.01195,0.01202381,0.01415308,0.01671657,0.01673323,-1.6655e-05
1989-11,18.5426,18.3883,34.627619,34.842945,1.006218,0.01195569,0.01203003,0.01415389,0.0167168,0.01673404,-1.7233e-05
1989-12,18.5443,18.3885,34.625887,34.842665,1.006261,0.01196138,0.01203626,0.01415469,0.01671703,0.01673484,-1.7811e-05
1990-01,18.546,18.3888,34.624133,34.842385,1.006303,0.01196706,0.01204249,0.01415554,0.01671728,0.01673571,-1.8426e-05
1990-02,18.5477,18.3891,34.622384,34.842108,1.006346,0.01197274,0.01204872,0.01415629,0.0167175,0.01673646,-1.8964e-05
1990-03,18.5494,18.3893,34.620628,34.841818,1.006389,0.01197841,0.01205494,0.01415709,0.01671773,0.01673727,-1.9539e-05
1990-04,18.5511,18.3896,34.618901,34.841517,1.00643,0.0119841,0.01206116,0.01415789,0.01671796,0.01673807,-2.0114e-05
1990-05,18.5528,18.3898,34.617189,34.84119,1.006471,0.01198979,0.01206737,0.01415869,0.01671819,0.01673888,-2.0689e-05
1990-06,18.5545,18.3901,34.615464,34.84085,1.006511,0.01199548,0.01207358,0.01415949,0.01671842,0.01673968,-2.1263e-05
1990-07,18.5562,18.3904,34.613738,34.840503,1.006551,0.01200116,0.01207978,0.01416034,0.01671867,0.01674054,-2.1874e-05
1990-08,18.5579,18.3906,34.612019,34.840161,1.006591,0.01200685,0.01208599,0.01416114,0.0167189,0.01674134,-2.2447e-05
1990-09,18.5596,18.3909,34.610306,34.839846,1.006632,0.01201254,0.01209221,0.01416193,0.01671913,0.01674215,-2.302e-05
1990-10,18.5613,18.3911,34.608582,34.839543,1.006674,0.01201822,0.01209842,0.01416278,0.01671937,0.016743,-2.3629e-05
1990-11,18.563,18.3914,34.606853,34.839245,1.006715,0.0120239,0.01210464,0.01416358,0.0167196,0.0167438,-2.42e-05
1990-12,18.5647,18.3917,34.605118,34.838963,1.006758,0.01202958,0.01211087,0.01416437,0.01671983,0.01674461,-2.4771e-05
1991-01,18.5664,18.3919,34.603369,34.838685,1.0068,0.01203525,0.0121171,0.01416522,0.01672008,0.01674546,-2.5379e-05
1991-02,18.5681,18.3922,34.601624,34.8384,1.006843,0.01204093,0.01212332,0.01416596,0.0167203,0.01674621,-2.5911e-05
1991-03,18.5698,18.3924,34.599879,34.838113,1.006885,0.0120466,0.01212955,0.01416675,0.01672053,0.01674701,-2.648e-05
1991-04,18.5715,18.3927,34.598156,34.837827,1.006927,0.01205228,0.01213577,0.01416755,0.01672076,0.01674781,-2.7048e-05
1991-05,18.5732,18.393,34.596457,34.83752,1.006968,0.01205797,0.01214199,0.01416839,0.016721,0.01674866,-2.7654e-05
1991-06,18.5749,18.3932,34.594766,34.837197,1.007008,0.01206366,0.0121482,0.01416918,0.01672123,0.01674945,-2.8221e-05
1991-07,18.5766,18.3935,34.59307,34.836874,1.007048,0.01206935,0.01215441,0.01416997,0.01672146,0.01675025,-2.8788e-05
1991-08,18.5783,18.3937,34.591361,34.836565,1.007089,0.01207503,0.01216063,0.01417081,0.01672171,0.0167511,-2.9392e-05
1991-09,18.58,18.394,34.589659,34.836273,1.00713,0.01208072,0.01216685,0.0141716,0.01672194,0.0167519,-2.9957e-05
1991-10,18.5817,18.3943,34.587949,34.835981,1.007171,0.0120864,0.01217307,0.01417239,0.01672217,0.01675269,-3.0523e-05
1991-11,18.5834,18.3945,34.586217,34.835692,1.007213,0.01209207,0.01217929,0.01417318,0.0167224,0.01675349,-3.1087e-05
